time_utc,PM2.5,Relative humidity
2026-08-07T16:00:29Z,5.63,66.61
2026-08-07T16:01:29Z,5.67,67.28
2026-08-07T16:02:29Z,5.67,67.43
2026-08-07T16:03:29Z,5.68,67.57
2026-08-07T16:04:29Z,5.69,67.69
2026-08-07T16:05:29Z,5.7,67.83
2026-08-07T16:06:29Z,5.7,67.84
2026-08-07T16:07:29Z,5.72,68.26
2026-08-07T16:08:29Z,5.74,68.55
2026-08-07T16:09:29Z,5.75,68.67
2026-08-07T16:10:29Z,5.77,69.05
2026-08-07T16:11:29Z,5.79,69.3
2026-08-07T16:12:29Z,5.8,69.47
2026-08-07T16:13:29Z,5.82,69.9
2026-08-07T16:14:29Z,5.84,70.26
2026-08-07T16:15:29Z,5.85,70.43
2026-08-07T16:16:29Z,5.87,70.69
2026-08-07T16:17:29Z,5.88,70.97
2026-08-07T16:18:29Z,5.9,71.17
2026-08-07T16:19:29Z,5.9,71.26
2026-08-07T16:20:29Z,5.91,71.48
2026-08-07T16:21:29Z,5.91,71.34
2026-08-07T16:22:29Z,5.91,71.43
2026-08-07T16:23:29Z,5.92,71.64
2026-08-07T16:24:29Z,5.94,71.83
2026-08-07T16:25:29Z,5.95,72.06
2026-08-07T16:26:29Z,5.95,72.02
2026-08-07T16:27:29Z,5.95,72.06
2026-08-07T16:28:29Z,5.95,72.15
2026-08-07T16:29:29Z,5.96,72.18
2026-08-07T16:30:29Z,5.96,72.24
2026-08-07T16:31:29Z,5.96,72.31
2026-08-07T16:32:29Z,5.96,72.22
2026-08-07T16:33:29Z,5.96,72.26
2026-08-07T16:34:29Z,5.96,72.23
2026-08-07T16:35:29Z,5.98,72.64
2026-08-07T16:36:29Z,5.97,72.43
2026-08-07T16:37:29Z,5.97,72.4
2026-08-07T16:38:29Z,5.96,72.26
2026-08-07T16:39:29Z,5.95,72.12
2026-08-07T16:40:29Z,5.94,71.88
2026-08-07T16:41:29Z,5.93,71.77
2026-08-07T16:42:29Z,5.93,71.81
2026-08-07T16:43:29Z,5.93,71.68
2026-08-07T16:44:29Z,5.92,71.59
2026-08-07T16:45:29Z,5.93,71.67
2026-08-07T16:46:29Z,5.93,71.8
2026-08-07T16:47:29Z,5.94,71.84
2026-08-07T16:48:29Z,5.93,71.75
2026-08-07T16:49:29Z,5.93,71.73
2026-08-07T16:50:29Z,5.91,71.37
2026-08-07T16:51:29Z,5.91,71.32
2026-08-07T16:52:29Z,5.92,71.56
2026-08-07T16:53:29Z,5.91,71.34
2026-08-07T16:54:29Z,5.9,71.26
2026-08-07T16:55:29Z,5.9,71.15
2026-08-07T16:56:29Z,5.88,70.88
2026-08-07T16:57:29Z,5.84,70.28
2026-08-07T16:58:29Z,5.82,69.85
2026-08-07T16:59:29Z,5.81,69.7
2026-08-07T17:00:29Z,5.81,69.72
2026-08-07T17:01:29Z,5.81,69.76
2026-08-07T17:02:29Z,5.83,70.02
2026-08-07T17:03:29Z,5.83,70.11
2026-08-07T17:04:29Z,5.84,70.28
2026-08-07T17:05:29Z,5.85,70.43
2026-08-07T17:06:29Z,5.85,70.36
2026-08-07T17:07:29Z,5.84,70.27
2026-08-07T17:08:29Z,5.86,70.59
2026-08-07T17:09:29Z,5.88,70.84
2026-08-07T17:10:29Z,5.89,71.04
2026-08-07T17:11:29Z,5.9,71.26
2026-08-07T17:12:29Z,5.91,71.35
2026-08-07T17:13:29Z,5.91,71.32
2026-08-07T17:14:29Z,5.93,71.66
2026-08-07T17:15:29Z,5.93,71.69
2026-08-07T17:16:29Z,5.94,71.89
2026-08-07T17:17:29Z,5.95,71.99
2026-08-07T17:18:29Z,5.95,72.06
2026-08-07T17:19:29Z,5.96,72.18
